Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
Beijing New Building Materials Public Ltd Co,000786.SZ,F1,Basic materials and industrials,building materials ,IS - F1 building materials  - Beijing New Building Materials Public Ltd Co - 000786.SZ,25.5,Chinese Renminbi,33.518,,Mr. Li Guan,Building Products,Building Products,"Beijing New Building Materials Public Ltd Co is a China-based company that mainly produces and sells gypsum board products. The Company's gypsum boards are widely used in the construction and decoration of various buildings in commercial and public buildings such as office buildings, hotels, guesthouses, stadiums, industrial plants, and residential buildings. The Company owns gypsum board brands such as Longpai and Taishan. The Company is also engaged in the production of keels, waterproof membranes, coatings, and others, as well as waterproofing projects. The waterproof products include self-adhesive waterproof membranes, polymer modified asphalt waterproof membranes, polymer waterproof membranes, waterproof coatings, waterproof auxiliary materials, and others.","43,081,846,702.08","6,020,944,713.77",4/9/2025,,"25,821,124,420.00","25,782,324,980.00","29,766,387,867.50",0.718,,"3,646,942,000.00",1.99,2.159,2.443,13.17%,NULL,14.002,,9.594,13.106,,,14.002,0.248,,5.432,9.303,9.594,13.106,"35,139,481,980","26,934,438,870",,"3,043,709,380","92,303,670",2.900,43.844,8.66%,7.790664417,"5,128,050,000","4,847,152,000",5.80%,"5,134,465,520","4,734,387,490",8.45%,43.844,1.605,1.305,1.687,,12.810,NULL,9.359,3.39%,43.46%,0.87,9.713%,60.192%,15.071%,0.113 ,0.284 ,0.276 ,NULL,,5.432,0.127,0.152,0.603,0.844,0.123,0.406,5.409,3.246,0.785,0.785,5.432,,36.28,23.03
Sieyuan Electric Co Ltd,002028.SZ,F1,Basic materials and industrials,Building systems and supplies (electric) ,IS - F1 Building systems and supplies (electric)  - Sieyuan Electric Co Ltd - 002028.SZ,90.64,Chinese Renminbi,502.772,,Mr. Zengping Dong,Electrical Equipment,Electrical Components & Equipment,"Sieyuan Electric Co.,Ltd. is a China-based company principally engaged in the research, development, manufacture, distribution and provision of services of power transmission and distribution equipment. The Company’s main products include gas insulated switchgears (GISs), relay protection equipment and monitoring systems, circuit breakers, disconnecting switches, power capacitor devices, current and voltage transformers, reactors, active power filters, oil chromatogram and online monitoring systems, among others. The Company distributes its products in domestic market and to overseas markets.","70,553,666,807.60","9,903,646,893.12",4/9/2025,,"15,458,068,520.00","17,788,716,360.00","23,005,776,117.50",0.781,,"2,049,070,000.00",3.16,2.64,3.515,33.15%,0.934,16.256,,11.022,19.898,,,16.256,1.348,,5.262,9.998,11.022,19.898,"23,473,702,060","12,681,821,310",,"2,451,276,880","84,620,000",0.386,310.933,10.44%,3.652226575,"2,680,558,000","1,981,521,000",35.28%,"2,462,472,230","2,272,114,970",8.38%,310.933,1.804,1.423,1.005,,28.684,0.934,21.875,0.55%,NULL,0.50,35.706%,37.964%,19.620%,0.129 ,0.147 ,0.139 ,NULL,,5.262,0.353,0.424,0.477,0.668,0.115,0.380,5.096,3.058,0.732,0.732,5.262,,96.70,65.26
Anhui Conch Cement Co Ltd,600585.SS,F1,Basic materials and industrials,Cement ,IS - F1 Cement  - Anhui Conch Cement Co Ltd - 600585.SS,23.66,Chinese Renminbi,15.421,,Mr. Jun Yang,Construction Materials,Construction Materials,"Anhui Conch Cement Co Ltd is a China-based company principally engaged in the production and sale of cement, commercial clinker, aggregates and concrete. The Company mainly operates cement and cement-related businesses and solid waste and hazardous waste disposal businesses. The Company's cement varieties mainly include 32.5-grade cement, 42.5-grade cement and 52.5-grade cement, which are used in national large-scale infrastructure construction projects such as railways, highways, airports, water conservancy projects, as well as urban real estate development, cement products and rural markets. The Company mainly conducts its businesses in domestic and foreign markets.","122,781,006,559.15","17,187,433,086.88",4/9/2025,,"91,029,615,300.00","86,755,778,730.00","89,862,673,285.00",0.344,,"7,696,118,000.00",1.66,1.46,1.882,28.92%,0.881,13.108,,3.434,4.659,,,13.108,0.797,,2.873,6.117,3.434,4.659,"254,635,243,900","201,430,690,950",,"29,717,829,510","778,704,660",2.934,10.986,11.67%,15.52477897,"17,045,027,000","21,944,573,000",-22.33%,"18,933,154,000","20,105,563,570",-5.83%,10.986,3.411,3.111,0.637,,14.274,0.881,11.639,3.00%,57.21%,0.71,(33.182%),(18.708%),0.887%,0.738 ,0.671 ,0.693 ,NULL,,2.873,0.255,0.306,0.687,0.962,0.034,0.113,1.882,1.129,0.364,0.364,2.873,,28.75,19.53
Qinghai Salt Lake Industry Co Ltd,000792.SZ,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - Qinghai Salt Lake Industry Co Ltd - 000792.SZ,19.13,Chinese Renminbi,-66.135,,Mr. Zhaofei Hou,Chemicals,Fertilizers & Agricultural Chemicals,"Qinghai Salt Lake Industry Co Ltd is a China-based company primarily engaged in the production and sales of potassium products. The Company operates primarily through three segments. The Potassium Chloride and Lithium Carbonate Products Business segment is principally engaged in the production and sales of potassium chloride and lithium carbonate. The Trading Business segment is principally engaged in the procurement and sales of fertilizers and chemical products. The Other Business segment is principally engaged in operating hotels, department stores, labor services, among others. The Company's main products include potassium chloride and lithium carbonate. The Company principally conducts its businesses in the domestic market.","101,226,365,251.06","14,226,649,226.65",4/9/2025,,"15,134,119,500.00","14,678,111,830.00","17,668,498,532.50",0.307,,"4,663,117,000.00",0.94,0.881,1.123,27.43%,NULL,43.015,,11.031,13.586,,,43.015,1.417,,6.922,13.841,11.031,13.586,"45,782,850,940","39,964,884,010",,"420,795,210",NULL,5.254,40.521,0.92%,4.300996579,"6,592,053,000","10,884,533,000",-39.44%,"7,819,152,860","12,104,619,000",-35.40%,40.521,6.708,6.474,18.582,,20.386,NULL,16.291,0.00%,NULL,0.00,NULL,NULL,NULL,0.000 ,0.000 ,0.018 ,NULL,,6.922,0.524,0.628,-0.180,-0.253,0.119,0.391,9.712,5.827,0.328,0.328,6.922,,20.75,14.15
Zhejiang Nhu Co Ltd,002001.SZ,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - Zhejiang Nhu Co Ltd - 002001.SZ,23.55,Chinese Renminbi,86.000,,Mr. Baifan Hu,Chemicals,Specialty Chemicals,"Zhejiang Nhu Co Ltd is a China-based company principally engaged in the production and sales of nutrition, flavor and fragrance, new polymer materials, and active pharmaceutical ingredients (APIs). The Company operates its businesses through two segments: The Pharmaceutical Chemicals segment and the Others segment. The Company’s main products include nutrition such as vitamins, amino acids and pigments, flavor and fragrance such as linalool and citral, polymer materials such as polyphenyl sulfide (PPS), high temperature nylon (PPA), APIs such as vitamins and antibiotics. The Company’s products are mainly used in feed additives, nutrition supplements of food, personal care, cosmetic, automotive, electronic, environmental protection and other fields. The Company mainly operates its businesses in the domestic and overseas markets.","72,378,067,064.31","10,135,138,847.28",4/9/2025,,"21,609,592,230.00","22,865,512,850.00","25,309,060,790.00",0.538,,"5,868,546,000.00",2.37,1.91,2.045,7.05%,NULL,37.232,,17.172,25.252,,,37.232,2.857,,5.092,9.626,17.172,25.252,"42,989,132,470","30,471,384,850",,"9,117,884,480","282,180,510",2.956,25.190,21.21%,30.99700106,"9,383,876,000","5,037,302,000",86.29%,"7,073,064,180","5,119,370,860",38.16%,25.190,2.494,1.893,0.776,,9.950,NULL,11.146,2.97%,NULL,0.70,6.266%,15.053%,17.216%,0.109 ,0.120 ,0.189 ,NULL,,5.092,0.233,0.280,0.536,0.750,0.173,0.571,4.942,2.965,0.526,0.526,5.092,,25.39,18.50
LB Group Co Ltd,002601.SZ,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - LB Group Co Ltd - 002601.SZ,18.49,Chinese Renminbi,70.875,,Mr. Benliu He,Chemicals,Commodity Chemicals,"LB Group Co Ltd, formerly Lomon Billions Group Co Ltd, is a China-based company principally engaged in the research, development, manufacturing and sales of new materials such as titanium, zirconium and lithium. The Company's main products include titanium dioxide, titanium sponge, zirconium products, lithium battery positive and negative electrode materials and others. The Company's products are mainly used in coatings, plastics, papermaking, printing inks, rubber, chemicals, civil, biomedicine, marine engineering, sports and leisure and other fields. The Company mainly operates its businesses in the domestic and overseas markets.","44,121,944,470.18","6,171,736,135.54",4/9/2025,,"27,538,748,480.00","27,076,717,480.00","31,027,899,845.00",0.406,,"2,168,585,000.00",0.77,0.91,1.191,30.85%,NULL,9.104,,2.879,7.804,,,9.104,-2.869,,1.206,1.027,2.879,7.804,"66,200,879,680","26,024,105,780",,"29,044,509,420","884,167,280",3.174,4.276,43.87%,102.918865,"6,679,438,000","6,715,438,000",-0.54%,"3,797,295,900","3,404,358,000",11.54%,4.276,0.832,0.550,0.131,,23.894,NULL,12.670,4.33%,104.27%,0.80,(7.846%),3.714%,41.200%,0.520 ,0.465 ,0.358 ,NULL,,1.206,-0.107,-0.128,0.097,0.136,0.058,0.192,0.971,0.583,0.424,0.424,1.206,,22.85,15.73
Satellite Chemical Co Ltd,002648.SZ,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - Satellite Chemical Co Ltd - 002648.SZ,19.42,Chinese Renminbi,257.314,,Mr. Weidong Yang,Chemicals,Commodity Chemicals,"Satellite Chemical Co Ltd, formerly Zhejiang Satellite Petrochemical Co Ltd, is a China-based company principally engaged in the production and sale of chemical products. The Company's main products include acrylic acid and esters, pigment intermediates, polyether macromonomers, hydrogen peroxide, polymer emulsions, high absorption resin and others. The Company's products are mainly used in such industries as aerospace, automotive industry, electronic semiconductors, medical health, nutrition care, sports and fitness, construction engineering, environmental governance and others. The Company mainly operates its businesses in the domestic and overseas markets.","65,418,183,258.36","9,160,542,652.67",4/9/2025,,"45,648,350,060.00","49,708,017,460.00","54,858,679,000.00",0.731,,"6,082,095,000.00",2.00,1.81,1.888,4.32%,NULL,15.656,,9.939,23.025,,,15.656,3.642,,2.549,3.648,9.939,23.025,"68,305,210,220","30,491,175,070",,"27,803,963,400",NULL,3.666,7.497,40.71%,91.77045283,"12,783,113,000","10,358,707,000",23.40%,"10,590,386,560","7,996,401,780",32.44%,7.497,1.011,0.723,0.381,,9.690,NULL,9.110,2.57%,NULL,0.50,41.012%,50.093%,14.632%,0.224 ,0.204 ,0.172 ,NULL,,2.549,0.002,0.002,0.327,0.458,0.122,0.403,1.665,0.999,0.687,0.687,2.549,,23.19,14.65
Guangzhou Tinci Materials Technology Co Ltd,002709.SZ,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - Guangzhou Tinci Materials Technology Co Ltd - 002709.SZ,23.15,Chinese Renminbi,188.163,,Mr. Jinfu Xu,Chemicals,Commodity Chemicals,"Guangzhou Tinci Materials Technology Co.,Ltd is a China-based company principally engaged in the research, development, production and sale of fine chemical materials. The Company’s main products are categorized into daily chemicals and specialty chemicals, lithium ion battery materials and organic silicon rubber materials, which include cationic conditioner series, silicone oil, surface active agent series, water-soluble polymers, electrolytic solution, lithium hexafluorophosphate, lithium iron phosphate, liquid silicone rubber and others. The Company distributes its products in domestic market and to overseas market.","44,316,446,423.06","6,245,864,760.66",4/9/2025,,"12,518,297,340.00","14,097,000,250.00","19,050,339,972.50",0.586,,"483,930,000.00",0.27,0.29,0.451,55.40%,5.173,4.912,,2.098,3.920,,,4.912,3.591,,3.528,6.529,2.098,3.920,"23,953,389,260","13,534,778,250",,"6,629,130,590","215,562,660",3.393,3.721,27.68%,50.7567281,"1,817,832,000","3,069,846,000",-40.78%,"881,535,740","2,274,216,050",-61.24%,3.721,1.809,1.588,0.133,,86.981,5.173,38.069,0.43%,37.72%,0.10,(26.319%),46.716%,27.469%,0.210 ,0.214 ,0.191 ,NULL,,3.528,0.206,0.247,0.397,0.555,0.033,0.110,3.488,2.093,0.522,0.522,3.528,,25.63,12.86
Zhejiang Juhua Co Ltd,600160.SS,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - Zhejiang Juhua Co Ltd - 600160.SS,35.09,Chinese Renminbi,375.140,,Mr. Liyang Zhou,Chemicals,Commodity Chemicals,"Zhejiang Juhua Co Ltd is a China-based company principally engaged in the research and development, production and sales of basic chemical raw materials, food packaging materials, fluorine chemical raw materials and subsequent products. The Company's main products include fluorine chemical raw materials, refrigerants, fluorine-containing polymer materials, fluorine-containing fine chemicals, food packaging materials, petrochemical materials, basic chemicals and other products. The Company's products are widely used in daily life and defense, aerospace, electronic information, environmental protection, new energy, electrical, electrical appliances, chemical, pharmaceutical, medical, food, metallurgy and smelting and other industrial sectors and strategic emerging industries. The Company mainly operates its businesses in the domestic and overseas markets.","94,732,763,452.99","13,231,455,013.72",4/9/2025,,"24,462,373,060.00","25,713,695,040.00","30,426,736,250.00",0.890,,"1,959,535,000.00",1.18,0.73,1.552,112.60%,NULL,15.454,,12.049,17.544,,,15.454,8.981,,5.767,9.285,12.049,17.544,"27,913,610,330","19,902,419,310",,"4,009,083,940","42,000,000",2.488,22.163,14.36%,24.61285942,"4,074,163,000","2,125,986,000",91.64%,"2,764,817,140","2,196,337,000",25.88%,22.163,1.611,1.150,0.690,,29.791,NULL,19.766,0.66%,19.55%,0.23,20.947%,13.896%,11.576%,0.077 ,0.072 ,0.063 ,NULL,,5.767,0.106,0.128,0.370,0.518,0.093,0.308,6.433,3.860,0.954,0.954,5.767,,40.10,14.25
Wanhua Chemical Group Co Ltd,600309.SS,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - Wanhua Chemical Group Co Ltd - 600309.SS,64.69,Chinese Renminbi,104.327,,Mr. Zengtai Liao,Chemicals,Specialty Chemicals,"Wanhua Chemical Group Co Ltd, formerly Yantai Wanhua Polyurethanes Co Ltd, is a China-based company principally engaged in polyurethane business, petrochemical business, fine chemicals and new materials business. The polyurethane business includes isocyanate and polyether polyol. The petrochemical business mainly focuses on the development of C2, C3 and C4 olefin derivatives. The fine chemicals and new materials business mainly includes functional chemical products, new materials products, surface materials products, high-performance polymers, chlorine products, nutritional technology products, battery technology products and electronic materials products. The Company's main products include specialty isocyanates, specialty amines and intermediates, thermoplastic polyurethane elastomers (TPU), polycarbonate (PC), isocyanates and others. The Company mainly operates its businesses in the domestic and overseas markets.","202,507,373,804.23","28,335,296,427.12",4/9/2025,,"182,069,119,160.00","175,903,192,520.00","215,751,377,150.00",0.574,,"13,033,067,000.00",3.50,4.15,4.266,2.79%,NULL,8.671,,4.088,11.492,,,8.671,-1.936,,1.781,1.414,4.088,11.492,"293,333,349,750","105,835,633,260",,"149,546,325,190","2,817,045,030",2.018,6.961,50.98%,130.0799247,"33,082,605,000","33,455,031,000",-1.11%,"30,053,435,180","26,796,752,550",12.15%,6.961,0.619,0.431,0.201,,18.496,NULL,13.331,1.93%,20.87%,1.25,(20.630%),(0.781%),17.462%,0.532 ,0.472 ,0.682 ,NULL,,1.781,-0.191,-0.229,0.307,0.430,0.072,0.237,1.127,0.676,0.666,0.666,1.781,,100.40,52.10
Shandong Hualu-Hengsheng Chemical Co Ltd,600426.SS,F1,Basic materials and industrials,chemicals ,IS - F1 chemicals  - Shandong Hualu-Hengsheng Chemical Co Ltd - 600426.SS,25.9,Chinese Renminbi,145.793,,Mr. Huaichun Chang,Chemicals,Fertilizers & Agricultural Chemicals,"Shandong Hualu-Hengsheng Chemical Co Ltd is a China-based company principally engaged in the production and sales of chemical products. The Company's main products include new energy and new materials related products such as caprolactam, nylon 6, adipic acid and others, chemical fertilizers such as urea and others, organic amines such as dimethylformamide (DMF), monomethylamine and others, acetic acid and derivatives products such as acetic acid, acetic anhydride and others. The Company's products are mainly used in clothing, automobiles, food, real estate, agricultural production, industrial processing and other fields. The Company mainly operates its businesses in the domestic and overseas markets.","54,990,627,922.32","7,715,232,160.09",4/9/2025,,"34,226,018,630.00","33,014,350,370.00","37,035,372,962.50",0.703,,"3,902,593,000.00",1.53,1.841,1.816,-1.37%,NULL,12.893,,7.495,10.440,,,12.893,0.666,,3.741,5.973,7.495,10.440,"46,657,911,910","32,844,397,770",,"10,314,116,090","258,723,050",2.774,20.194,22.11%,31.32540969,"8,040,812,000","6,561,828,000",22.54%,"4,968,115,820","4,715,319,210",5.36%,20.194,1.447,1.190,0.482,,16.902,NULL,12.431,2.32%,35.90%,0.60,(9.144%),17.383%,24.276%,0.115 ,0.249 ,0.299 ,NULL,,3.741,0.040,0.048,0.570,0.798,0.115,0.380,2.934,1.760,0.755,0.755,3.741,,28.78,19.73
Zoomlion Heavy Industry Science and Technology Co Ltd,000157.SZ,F1,Basic materials and industrials,Construction machineries ,IS - F1 Construction machineries  - Zoomlion Heavy Industry Science and Technology Co Ltd - 000157.SZ,7.25,Chinese Renminbi,128.147,,Mr. Chunxin Zhan,Machinery,Construction Machinery & Heavy Transportation Equipment,"Zoomlion Heavy Industry Science and Technology Co Ltd is a China-based company principally engaged in the research, development, manufacturing, sales and service of construction machinery, agricultural machinery and mining machinery. The Company operates primarily through three segments. The Construction Machinery segment is primarily engaged in the development, manufacturing and sales of concrete machinery, lifting machinery, earthwork construction machinery, aerial work machinery, pile-driving machinery, emergency rescue equipment, forklifts and others. The Agricultural Machinery segment is primarily engaged in the research, development, manufacturing, sales and leasing of various types of agricultural machinery, including tractors, harvesters and dryers, and rice transplanters. The Financial Services segment is primarily engaged in providing financial services for customers who purchase machinery products from the Company and other suppliers.","60,427,934,613.98","8,461,737,894.20",4/9/2025,,"45,478,184,510.00","45,797,317,520.00","56,220,951,862.50",0.358,,"3,520,378,000.00",0.46,0.41,0.550,34.26%,0.647,10.286,,3.406,6.962,,,10.286,-0.180,,1.678,3.677,3.406,6.962,"123,745,691,290","62,500,000,000",,"34,648,194,610",NULL,1.649,6.562,28.00%,47.86385497,"5,734,911,000","5,290,552,000",8.40%,"2,142,055,020","2,712,551,740",-21.03%,6.562,1.718,1.211,0.062,,15.761,0.647,11.595,4.14%,108.53%,0.30,(2.128%),NULL,19.623%,0.010 ,0.129 ,0.116 ,NULL,,1.678,0.254,0.305,0.252,0.353,0.029,0.097,0.942,0.565,0.357,0.357,1.678,,8.60,5.72
XCMG Construction Machinery Co Ltd,000425.SZ,F1,Basic materials and industrials,Construction machineries ,IS - F1 Construction machineries  - XCMG Construction Machinery Co Ltd - 000425.SZ,9.88,Chinese Renminbi,152.624,,Mr. Dongsheng Yang,Machinery,Construction Machinery & Heavy Transportation Equipment,"XCMG Construction Machinery Co Ltd is a China-based company mainly engaged in the research and development, manufacturing, sales, and service of construction machinery and spare parts. The Company operates ten segments: the Crane Machinery segment, the Shovel Machinery segment, the Road Machinery segment, the Aerial Work Machinery segment, the Piling Machinery segment, the Concrete Machinery segment, the Excavation Machinery segment, the Mining Machinery segment, the Other Machinery segment, and the Financial Services segment. The products produced by the Company include car cranes, forklifts, pavers, aerial work vehicles, rotary drilling rigs, continuous wall hydraulic grab buckets, concrete pump trucks, mountain excavators, crushing and screening equipment, mine clearing vehicles, and others.","116,117,742,142.07","16,210,656,026.51",4/9/2025,,"91,659,763,820.00","96,835,724,160.00","111,881,056,752.50",0.577,,"5,976,118,000.00",0.56,0.51,0.673,31.89%,0.746,7.859,,3.953,11.018,,,7.859,-29.407,,1.784,3.124,3.953,11.018,"160,969,811,610","61,014,918,250",,"63,602,651,810","1,372,625,340",2.095,6.162,39.51%,79.60588812,"12,539,820,000","10,334,268,000",21.34%,"5,719,887,030","3,570,913,430",60.18%,6.162,1.339,0.961,0.090,,17.633,0.746,12.617,1.82%,31.94%,0.18,NULL,24.573%,24.573%,0.086 ,0.072 ,0.069 ,NULL,,1.784,0.176,0.211,0.200,0.280,0.052,0.172,0.922,0.553,0.568,0.568,1.784,,10.36,5.95
Sany Heavy Industry Co Ltd,600031.SS,F1,Basic materials and industrials,Construction machineries ,IS - F1 Construction machineries  - Sany Heavy Industry Co Ltd - 600031.SS,20.27,Chinese Renminbi,159.301,,Mr. Wenbo Xiang,Machinery,Construction Machinery & Heavy Transportation Equipment,"Sany Heavy Industry Co Ltd is a China-based company principally engaged in research, development, manufacture, sale and service of construction machinery. The Company operates its businesses through six segments. The Concrete Machinery segment engages in research, development, manufacture and sale of a series of concrete products. The Excavator Machinery segment engages in research, development, manufacture and sale of excavator machinery products. The Hoisting Machinery segment engages in research, development, manufacture and sale of hoisting machinery products. The Pile Driving Machinery segment engages in research, development, manufacture and sale of pile driving machinery products. The Pavement Machinery segment engages in research, development, manufacture and sale of pavement machinery products. The Financial Services segment engages in mortgage loans, financial leasing, and other businesses. The Company mainly operates its businesses in the domestic and overseas markets.","171,773,480,730.58","24,100,997,234.64",4/9/2025,,"78,383,379,000.00","84,103,203,000.00","99,010,041,972.50",0.550,,"5,975,451,000.00",0.90,0.706,1.018,44.24%,NULL,10.462,,5.051,10.467,,,10.462,4.709,,2.555,5.038,5.051,10.467,"152,145,076,000","73,001,599,000",,"31,223,746,000","201,776,000",2.023,7.552,20.52%,37.88345053,"10,788,669,000","8,030,192,000",34.35%,"14,814,278,000","5,708,220,000",159.53%,7.552,1.634,1.308,0.474,,22.466,NULL,18.043,1.78%,74.25%,0.36,(7.168%),(3.036%),22.322%,0.132 ,0.160 ,0.194 ,8.891,,2.555,0.249,0.298,0.397,0.556,0.042,0.139,1.742,1.045,0.517,0.517,2.555,,22.00,15.07
CMOC Group Ltd,603993.SS,F1,Basic materials and industrials,Copper / diversified metals ,IS - F1 Copper / diversified metals  - CMOC Group Ltd - 603993.SS,12.44,Chinese Renminbi,106.539,,Mr. Jianfeng Liu,Metals & Mining,Diversified Metals & Mining,"CMOC Group Ltd is a China-based company mainly engaged in mining and processing of basic metals and rare metals, as well as mineral trading. The mining and processing business mainly engages in the selection, smelting, deep processing, and scientific research of molybdenum, tungsten, copper cobalt, phosphate ore, niobium ore, and others, with main products including molybdenum iron, ammonium paratungstate, tungsten concentrate, and other molybdenum tungsten related products, niobium iron, copper concentrate, cathode copper, cobalt hydroxide, phosphate fertilizer, and others. The mineral trade business covers multiple countries around the world, with main business regions including China, Latin America, North America, and Europe and the products are mainly sold to Asia and Europe.","260,277,469,426.65","36,119,531,501.28",4/9/2025,,"213,028,664,840.00","204,982,736,920.00","209,337,978,532.50",1.146,,"13,532,035,000.00",0.79,0.63,0.731,16.04%,0.785,14.214,,10.636,24.510,,,14.214,9.611,,3.190,4.623,10.636,24.510,"170,236,431,690","85,996,229,590",,"29,543,254,040","4,043,301,640",10.228,6.976,17.35%,50.10325003,"34,299,845,000","19,170,694,000",78.92%,"32,386,655,540","15,542,003,000",108.38%,6.976,1.599,1.034,1.096,,15.747,0.785,16.298,2.05%,32.19%,0.26,52.962%,42.763%,15.568%,0.084 ,0.084 ,0.068 ,NULL,,3.190,0.198,0.238,0.215,0.300,0.164,0.542,1.448,0.869,1.241,1.241,3.190,,14.10,5.91
Tongling Nonferrous Metals Group Co Ltd,000630.SZ,F1,Basic materials and industrials,Copper / other industrial metals ,IS - F1 Copper / other industrial metals  - Tongling Nonferrous Metals Group Co Ltd - 000630.SZ,4.23,Chinese Renminbi,66.312,,Mr. Huadong Gong,Metals & Mining,Copper,"Tongling Nonferrous Metals Group Co Ltd is a China-based company principally engaged in the mining and smelting of copper, as well as the processing of copper materials. The Company's main products include cathode copper, sulfuric acid, gold, silver, copper foil, copper strip, chemicals and other products. The Company's products are applied in infrastructure facilities, electricity, automobile, home appliances, equipment manufacturing, electronic information and other areas. The Company distributes its products in domestic market, with East China as its main market.","55,341,067,623.30","7,694,370,541.07",4/9/2025,,"145,531,399,280.00","150,101,787,640.00","182,648,076,250.00",1.761,,NULL,0.16,NULL,0.300,#VALUE!,NULL,3.858,,3.027,6.071,,,3.858,0.202,,3.138,3.512,3.027,6.071,"80,944,491,700",NULL,,"25,770,838,790",NULL,3.152,7.620,31.84%,80.0850248,NULL,"9,387,679,000",#VALUE!,NULL,"5,924,657,630",#VALUE!,7.620,1.708,0.956,#VALUE!,,26.438,NULL,11.065,2.36%,NULL,0.10,0.000%,58.489%,25.893%,0.025 ,0.035 ,0.033 ,NULL,,3.138,0.224,0.269,0.185,0.259,0.078,0.256,0.878,0.527,1.828,1.828,3.138,,4.67,2.81
Jiangxi Copper Co Ltd,600362.SS,F1,Basic materials and industrials,Copper ,IS - F1 Copper  - Jiangxi Copper Co Ltd - 600362.SS,28.61,Chinese Renminbi,64.724,,Mr. Gaoqing Zheng,Metals & Mining,Copper,"Jiangxi Copper Co Ltd is a China-based company mainly engaged in the mining, smelting and processing of copper and gold. The Company mainly conducts businesses through two segments. The Copper-related Industry segment is mainly engaged in the production and sales of copper and copper-related products. The Gold-related Industry segment is mainly engaged in the production and sales of gold and gold-related products. The Company's products mainly include cathode copper, gold, silver, sulfuric acid, copper rods, copper tubes, copper foil, selenium, tellurium, rhenium and bismuth. The Company's products are mainly used in electrical, electronic, light industry, machinery manufacturing, construction, transportation, military industry and other industries. The Company principally conducts its businesses in the domestic market.","89,602,719,641.80","12,504,118,996.73",4/9/2025,,"520,928,245,940.00","504,795,656,890.00","546,677,180,145.00",2.386,,"6,962,198,000.00",2.18,2.01,2.138,6.36%,NULL,1.822,,3.702,9.646,,,1.822,-223.801,,4.101,3.118,3.702,9.646,"193,127,834,940","88,293,834,350",,"81,137,380,210","2,517,792,810",3.385,4.611,42.01%,114.0608986,"12,387,938,000","11,650,970,000",6.33%,NULL,"10,931,174,000",#VALUE!,4.611,1.274,0.825,#VALUE!,,13.135,NULL,14.802,2.45%,NULL,0.70,11.869%,47.577%,13.346%,0.096 ,0.256 ,0.224 ,NULL,,4.101,0.149,0.179,0.325,0.455,0.064,0.212,0.619,0.371,2.884,2.884,4.101,,30.80,18.37
